DB,id,start_date,model_name,dataset_name,method_name,num_folds,num_test_rounds,seed,cv_seed,commit_hash,id,optuna_study_id,experiment_id,start_date,end_date,is_complete,best_trial_number,fold,err_msg,best_avg_train_loss,best_avg_train_loss_epoch,best_avg_val_acc,best_avg_val_acc_epoch,best_avg_val_loss,best_avg_val_loss_epoch,id,study_id,final_train_loss,test_acc,test_loss,created_at
2025_11_2_experiments,4,12.04.2025 20:13,GCN,IMDB-BINARY,,5,3,0,0,a9bc58a6ac028eb52c4749939dc721b7b7dcb755,10,10,4,12.04.2025 20:13,13.04.2025 20:40,1,88,0,,0.578038812,730,0.762499988,710,0.555291057,710,16,10,0.620942712,0.725000024,0.586107612,13.04.2025 20:32
2025_11_2_experiments,4,12.04.2025 20:13,GCN,IMDB-BINARY,,5,3,0,0,a9bc58a6ac028eb52c4749939dc721b7b7dcb755,10,10,4,12.04.2025 20:13,13.04.2025 20:40,1,88,0,,0.578038812,730,0.762499988,710,0.555291057,710,17,10,0.604869664,0.685000002,0.586861849,13.04.2025 20:36
2025_11_2_experiments,4,12.04.2025 20:13,GCN,IMDB-BINARY,,5,3,0,0,a9bc58a6ac028eb52c4749939dc721b7b7dcb755,10,10,4,12.04.2025 20:13,13.04.2025 20:40,1,88,0,,0.578038812,730,0.762499988,710,0.555291057,710,18,10,0.573322773,0.754999995,0.521715641,13.04.2025 20:40
2025_11_2_experiments,4,12.04.2025 20:13,GCN,IMDB-BINARY,,5,3,0,0,a9bc58a6ac028eb52c4749939dc721b7b7dcb755,13,13,4,12.04.2025 20:14,14.04.2025 21:18,1,31,1,,0.524657488,540,0.774999976,460,0.503110766,450,38,13,0.550547779,0.675000012,0.583894193,14.04.2025 20:43
2025_11_2_experiments,4,12.04.2025 20:13,GCN,IMDB-BINARY,,5,3,0,0,a9bc58a6ac028eb52c4749939dc721b7b7dcb755,13,13,4,12.04.2025 20:14,14.04.2025 21:18,1,31,1,,0.524657488,540,0.774999976,460,0.503110766,450,44,13,0.55923754,0.685000002,0.578399062,14.04.2025 21:00
2025_11_2_experiments,4,12.04.2025 20:13,GCN,IMDB-BINARY,,5,3,0,0,a9bc58a6ac028eb52c4749939dc721b7b7dcb755,13,13,4,12.04.2025 20:14,14.04.2025 21:18,1,31,1,,0.524657488,540,0.774999976,460,0.503110766,450,49,13,0.551107049,0.644999981,0.638431549,14.04.2025 21:18
2025_11_2_experiments,4,12.04.2025 20:13,GCN,IMDB-BINARY,,5,3,0,0,a9bc58a6ac028eb52c4749939dc721b7b7dcb755,16,16,4,12.04.2025 20:15,14.04.2025 20:20,1,96,2,,0.408673942,730,0.793749988,550,0.500899971,550,31,16,0.446391791,0.665000021,0.859346211,14.04.2025 20:01
2025_11_2_experiments,4,12.04.2025 20:13,GCN,IMDB-BINARY,,5,3,0,0,a9bc58a6ac028eb52c4749939dc721b7b7dcb755,16,16,4,12.04.2025 20:15,14.04.2025 20:20,1,96,2,,0.408673942,730,0.793749988,550,0.500899971,550,32,16,0.427604556,0.644999981,0.617164671,14.04.2025 20:11
2025_11_2_experiments,4,12.04.2025 20:13,GCN,IMDB-BINARY,,5,3,0,0,a9bc58a6ac028eb52c4749939dc721b7b7dcb755,16,16,4,12.04.2025 20:15,14.04.2025 20:20,1,96,2,,0.408673942,730,0.793749988,550,0.500899971,550,33,16,0.430605978,0.660000026,0.651698291,14.04.2025 20:20
2025_11_2_experiments,4,12.04.2025 20:13,GCN,IMDB-BINARY,,5,3,0,0,a9bc58a6ac028eb52c4749939dc721b7b7dcb755,18,18,4,12.04.2025 20:16,14.04.2025 20:41,1,61,3,,0.586178184,810,0.768750012,610,0.557121634,620,34,18,0.604616404,0.735000014,0.553664684,14.04.2025 20:27
2025_11_2_experiments,4,12.04.2025 20:13,GCN,IMDB-BINARY,,5,3,0,0,a9bc58a6ac028eb52c4749939dc721b7b7dcb755,18,18,4,12.04.2025 20:16,14.04.2025 20:41,1,61,3,,0.586178184,810,0.768750012,610,0.557121634,620,35,18,0.613518715,0.74000001,0.548993051,14.04.2025 20:34
2025_11_2_experiments,4,12.04.2025 20:13,GCN,IMDB-BINARY,,5,3,0,0,a9bc58a6ac028eb52c4749939dc721b7b7dcb755,18,18,4,12.04.2025 20:16,14.04.2025 20:41,1,61,3,,0.586178184,810,0.768750012,610,0.557121634,620,37,18,0.593073368,0.670000017,0.610718548,14.04.2025 20:41
2025_11_2_experiments,4,12.04.2025 20:13,GCN,IMDB-BINARY,,5,3,0,0,a9bc58a6ac028eb52c4749939dc721b7b7dcb755,20,20,4,12.04.2025 20:17,14.04.2025 21:39,1,86,4,,0.523139477,690,0.787500024,720,0.503074944,720,48,20,0.528651595,0.685000002,0.589132667,14.04.2025 21:17
2025_11_2_experiments,4,12.04.2025 20:13,GCN,IMDB-BINARY,,5,3,0,0,a9bc58a6ac028eb52c4749939dc721b7b7dcb755,20,20,4,12.04.2025 20:17,14.04.2025 21:39,1,86,4,,0.523139477,690,0.787500024,720,0.503074944,720,51,20,0.519411385,0.675000012,0.603042841,14.04.2025 21:28
2025_11_2_experiments,4,12.04.2025 20:13,GCN,IMDB-BINARY,,5,3,0,0,a9bc58a6ac028eb52c4749939dc721b7b7dcb755,20,20,4,12.04.2025 20:17,14.04.2025 21:39,1,86,4,,0.523139477,690,0.787500024,720,0.503074944,720,53,20,0.525599241,0.675000012,0.580593824,14.04.2025 21:39
2025_11_2_experiments,8,23.04.2025 08:33,GIN,IMDB-BINARY,,5,3,0,0,be50fa437ab8173a6e629d4368a50f7b5a21e6eb,24,24,8,23.04.2025 08:33,25.04.2025 09:20,1,2,0,,0.620281855,410,0.787500024,600,0.56808126,580,100,24,0.614197493,0.649999976,0.620660603,25.04.2025 08:55
2025_11_2_experiments,8,23.04.2025 08:33,GIN,IMDB-BINARY,,5,3,0,0,be50fa437ab8173a6e629d4368a50f7b5a21e6eb,24,24,8,23.04.2025 08:33,25.04.2025 09:20,1,2,0,,0.620281855,410,0.787500024,600,0.56808126,580,105,24,0.628900528,0.704999983,0.608535171,25.04.2025 09:07
2025_11_2_experiments,8,23.04.2025 08:33,GIN,IMDB-BINARY,,5,3,0,0,be50fa437ab8173a6e629d4368a50f7b5a21e6eb,24,24,8,23.04.2025 08:33,25.04.2025 09:20,1,2,0,,0.620281855,410,0.787500024,600,0.56808126,580,112,24,0.627957344,0.720000029,0.614845991,25.04.2025 09:20
2025_11_2_experiments,8,23.04.2025 08:33,GIN,IMDB-BINARY,,5,3,0,0,be50fa437ab8173a6e629d4368a50f7b5a21e6eb,28,28,8,23.04.2025 08:34,25.04.2025 08:52,1,39,1,,0.54667269,200,0.793749988,390,0.483641922,380,92,28,0.558993638,0.709999979,0.523912787,25.04.2025 08:48
2025_11_2_experiments,8,23.04.2025 08:33,GIN,IMDB-BINARY,,5,3,0,0,be50fa437ab8173a6e629d4368a50f7b5a21e6eb,28,28,8,23.04.2025 08:34,25.04.2025 08:52,1,39,1,,0.54667269,200,0.793749988,390,0.483641922,380,94,28,0.543500721,0.725000024,0.52634722,25.04.2025 08:50
2025_11_2_experiments,8,23.04.2025 08:33,GIN,IMDB-BINARY,,5,3,0,0,be50fa437ab8173a6e629d4368a50f7b5a21e6eb,28,28,8,23.04.2025 08:34,25.04.2025 08:52,1,39,1,,0.54667269,200,0.793749988,390,0.483641922,380,96,28,0.570238411,0.699999988,0.528449893,25.04.2025 08:52
2025_11_2_experiments,8,23.04.2025 08:33,GIN,IMDB-BINARY,,5,3,0,0,be50fa437ab8173a6e629d4368a50f7b5a21e6eb,32,32,8,23.04.2025 08:35,25.04.2025 04:38,1,21,2,,0.440722764,770,0.787500024,620,0.454033196,810,82,32,0.495760441,0.699999988,0.530742586,25.04.2025 04:27
2025_11_2_experiments,8,23.04.2025 08:33,GIN,IMDB-BINARY,,5,3,0,0,be50fa437ab8173a6e629d4368a50f7b5a21e6eb,32,32,8,23.04.2025 08:35,25.04.2025 04:38,1,21,2,,0.440722764,770,0.787500024,620,0.454033196,810,83,32,0.432142019,0.699999988,0.546262383,25.04.2025 04:33
2025_11_2_experiments,8,23.04.2025 08:33,GIN,IMDB-BINARY,,5,3,0,0,be50fa437ab8173a6e629d4368a50f7b5a21e6eb,32,32,8,23.04.2025 08:35,25.04.2025 04:38,1,21,2,,0.440722764,770,0.787500024,620,0.454033196,810,84,32,0.451558203,0.714999974,0.512288153,25.04.2025 04:38
