DB,id,start_date,model_name,dataset_name,method_name,num_folds,num_test_rounds,seed,cv_seed,commit_hash,id,optuna_study_id,experiment_id,start_date,end_date,is_complete,best_trial_number,fold,err_msg,best_avg_train_loss,best_avg_train_loss_epoch,best_avg_val_acc,best_avg_val_acc_epoch,best_avg_val_loss,best_avg_val_loss_epoch,id,study_id,final_train_loss,test_acc,test_loss,created_at
2025_11_8_experiments,1,2025-11-21 13:06:17,GIN,IMDB-BINARY,,5,3,0,0,7b4e024be627dcc277feb06390063aab95370d7e,1,24,1,2025-11-21 13:06:17,2025-11-21 13:33:10,1,,0,,,,,,,,1,1,0.64902651309967,0.709999978542328,0.602515697479248,2025-11-21 13:15:03
2025_11_8_experiments,1,2025-11-21 13:06:17,GIN,IMDB-BINARY,,5,3,0,0,7b4e024be627dcc277feb06390063aab95370d7e,1,24,1,2025-11-21 13:06:17,2025-11-21 13:33:10,1,,0,,,,,,,,2,1,0.662566125392914,0.7049999833107,0.600786685943604,2025-11-21 13:24:02
2025_11_8_experiments,1,2025-11-21 13:06:17,GIN,IMDB-BINARY,,5,3,0,0,7b4e024be627dcc277feb06390063aab95370d7e,1,24,1,2025-11-21 13:06:17,2025-11-21 13:33:10,1,,0,,,,,,,,17,1,0.658422470092773,0.709999978542328,0.608744561672211,2025-11-21 13:33:10
2025_11_8_experiments,5,2025-11-21 13:22:33,GIN,IMDB-BINARY,emb_mixup,5,3,0,0,f1d15f7664af776f09281c5041b5072cff833307,8,16,5,2025-11-21 13:22:33,2025-11-21 13:31:01,1,,0,,,,,,,,3,8,0.681584179401398,0.694999992847443,0.610999703407288,2025-11-21 13:25:23
2025_11_8_experiments,5,2025-11-21 13:22:33,GIN,IMDB-BINARY,emb_mixup,5,3,0,0,f1d15f7664af776f09281c5041b5072cff833307,8,16,5,2025-11-21 13:22:33,2025-11-21 13:31:01,1,,0,,,,,,,,4,8,0.686414182186127,0.685000002384186,0.612401485443115,2025-11-21 13:28:11
2025_11_8_experiments,5,2025-11-21 13:22:33,GIN,IMDB-BINARY,emb_mixup,5,3,0,0,f1d15f7664af776f09281c5041b5072cff833307,8,16,5,2025-11-21 13:22:33,2025-11-21 13:31:01,1,,0,,,,,,,,8,8,0.679180383682251,0.7049999833107,0.603246152400971,2025-11-21 13:31:01
2025_11_8_experiments,6,2025-11-21 13:23:25,GIN,IMDB-BINARY,g_mixup,5,3,0,0,f1d15f7664af776f09281c5041b5072cff833307,9,106,6,2025-11-21 13:23:25,2025-11-21 13:48:04,1,,0,,,,,,,,9,9,0.670089781284332,0.740000009536743,0.619911730289459,2025-11-21 13:31:35
2025_11_8_experiments,6,2025-11-21 13:23:25,GIN,IMDB-BINARY,g_mixup,5,3,0,0,f1d15f7664af776f09281c5041b5072cff833307,9,106,6,2025-11-21 13:23:25,2025-11-21 13:48:04,1,,0,,,,,,,,37,9,0.666008949279785,0.634999990463257,0.655302405357361,2025-11-21 13:39:49
2025_11_8_experiments,6,2025-11-21 13:23:25,GIN,IMDB-BINARY,g_mixup,5,3,0,0,f1d15f7664af776f09281c5041b5072cff833307,9,106,6,2025-11-21 13:23:25,2025-11-21 13:48:04,1,,0,,,,,,,,59,9,0.674885332584381,0.644999980926514,0.633488416671753,2025-11-21 13:48:04
2025_11_8_experiments,7,2025-11-21 13:25:26,GIN,IMDB-BINARY,if_mixup,5,3,0,0,f1d15f7664af776f09281c5041b5072cff833307,10,36,7,2025-11-21 13:25:26,2025-11-21 13:46:52,1,,0,,,,,,,,14,10,0.677044332027435,0.670000016689301,0.638488471508026,2025-11-21 13:32:32
2025_11_8_experiments,7,2025-11-21 13:25:26,GIN,IMDB-BINARY,if_mixup,5,3,0,0,f1d15f7664af776f09281c5041b5072cff833307,10,36,7,2025-11-21 13:25:26,2025-11-21 13:46:52,1,,0,,,,,,,,36,10,0.678685128688812,0.665000021457672,0.639262437820435,2025-11-21 13:39:41
2025_11_8_experiments,7,2025-11-21 13:25:26,GIN,IMDB-BINARY,if_mixup,5,3,0,0,f1d15f7664af776f09281c5041b5072cff833307,10,36,7,2025-11-21 13:25:26,2025-11-21 13:46:52,1,,0,,,,,,,,54,10,0.67704975605011,0.660000026226044,0.637219667434692,2025-11-21 13:46:52
2025_11_8_experiments,8,2025-11-21 13:25:56,GIN,IMDB-BINARY,geomix,5,3,0,0,f1d15f7664af776f09281c5041b5072cff833307,11,61,8,2025-11-21 13:25:56,2025-11-21 13:38:36,1,,0,,,,,,,,6,11,0.678035736083984,0.725000023841858,0.637739658355713,2025-11-21 13:30:05
2025_11_8_experiments,8,2025-11-21 13:25:56,GIN,IMDB-BINARY,geomix,5,3,0,0,f1d15f7664af776f09281c5041b5072cff833307,11,61,8,2025-11-21 13:25:56,2025-11-21 13:38:36,1,,0,,,,,,,,21,11,0.681146562099457,0.699999988079071,0.613180637359619,2025-11-21 13:34:19
2025_11_8_experiments,8,2025-11-21 13:25:56,GIN,IMDB-BINARY,geomix,5,3,0,0,f1d15f7664af776f09281c5041b5072cff833307,11,61,8,2025-11-21 13:25:56,2025-11-21 13:38:36,1,,0,,,,,,,,35,11,0.676775872707367,0.7049999833107,0.635450065135956,2025-11-21 13:38:36
2025_11_8_experiments,9,2025-11-21 13:26:07,GIN,IMDB-BINARY,submix,5,3,0,0,f1d15f7664af776f09281c5041b5072cff833307,12,66,9,2025-11-21 13:26:07,2025-11-21 13:40:41,1,,0,,,,,,,,7,12,0.672704219818115,0.610000014305115,0.656363368034363,2025-11-21 13:30:29
2025_11_8_experiments,9,2025-11-21 13:26:07,GIN,IMDB-BINARY,submix,5,3,0,0,f1d15f7664af776f09281c5041b5072cff833307,12,66,9,2025-11-21 13:26:07,2025-11-21 13:40:41,1,,0,,,,,,,,26,12,0.673049211502075,0.639999985694885,0.63568389415741,2025-11-21 13:35:26
2025_11_8_experiments,9,2025-11-21 13:26:07,GIN,IMDB-BINARY,submix,5,3,0,0,f1d15f7664af776f09281c5041b5072cff833307,12,66,9,2025-11-21 13:26:07,2025-11-21 13:40:41,1,,0,,,,,,,,40,12,0.659802734851837,0.654999971389771,0.635390281677246,2025-11-21 13:40:41
2025_11_8_experiments,10,2025-11-21 13:26:20,GIN,IMDB-BINARY,ged_mixup,5,3,0,0,f1d15f7664af776f09281c5041b5072cff833307,13,101,10,2025-11-21 13:26:20,2025-11-21 13:56:39,1,,0,,,,,,,,31,13,0.505814075469971,0.610000014305115,0.710251331329346,2025-11-21 13:38:07
2025_11_8_experiments,10,2025-11-21 13:26:20,GIN,IMDB-BINARY,ged_mixup,5,3,0,0,f1d15f7664af776f09281c5041b5072cff833307,13,101,10,2025-11-21 13:26:20,2025-11-21 13:56:39,1,,0,,,,,,,,61,13,0.517935514450073,0.620000004768372,0.673613131046295,2025-11-21 13:48:49
2025_11_8_experiments,10,2025-11-21 13:26:20,GIN,IMDB-BINARY,ged_mixup,5,3,0,0,f1d15f7664af776f09281c5041b5072cff833307,13,101,10,2025-11-21 13:26:20,2025-11-21 13:56:39,1,,0,,,,,,,,76,13,0.521332502365112,0.59500002861023,0.697772204875946,2025-11-21 13:56:38
2025_11_8_experiments,11,2025-11-21 13:26:40,GIN,IMDB-BINARY,s_mixup,5,3,0,0,f1d15f7664af776f09281c5041b5072cff833307,14,141,11,2025-11-21 13:26:40,2025-11-21 14:52:32,1,,0,,,,,,,,90,14,0.68505847454071,0.714999973773956,0.623379588127136,2025-11-21 14:05:05
2025_11_8_experiments,11,2025-11-21 13:26:40,GIN,IMDB-BINARY,s_mixup,5,3,0,0,f1d15f7664af776f09281c5041b5072cff833307,14,141,11,2025-11-21 13:26:40,2025-11-21 14:52:32,1,,0,,,,,,,,104,14,0.678566038608551,0.675000011920929,0.639461994171143,2025-11-21 14:44:53
2025_11_8_experiments,11,2025-11-21 13:26:40,GIN,IMDB-BINARY,s_mixup,5,3,0,0,f1d15f7664af776f09281c5041b5072cff833307,14,141,11,2025-11-21 13:26:40,2025-11-21 14:52:32,1,,0,,,,,,,,105,14,0.682533740997315,0.680000007152557,0.64331442117691,2025-11-21 14:52:32
2025_11_8_experiments,12,2025-11-21 13:27:10,GIN,IMDB-BINARY,submix,5,3,0,0,f1d15f7664af776f09281c5041b5072cff833307,15,67,12,2025-11-21 13:27:10,2025-11-21 13:34:04,1,,1,,,,,,,,5,15,0.64315539598465,0.730000019073486,0.57262396812439,2025-11-21 13:29:30
2025_11_8_experiments,12,2025-11-21 13:27:10,GIN,IMDB-BINARY,submix,5,3,0,0,f1d15f7664af776f09281c5041b5072cff833307,15,67,12,2025-11-21 13:27:10,2025-11-21 13:34:04,1,,1,,,,,,,,11,15,0.63273823261261,0.7049999833107,0.56549197435379,2025-11-21 13:31:40
2025_11_8_experiments,12,2025-11-21 13:27:10,GIN,IMDB-BINARY,submix,5,3,0,0,f1d15f7664af776f09281c5041b5072cff833307,15,67,12,2025-11-21 13:27:10,2025-11-21 13:34:04,1,,1,,,,,,,,20,15,0.648545384407044,0.730000019073486,0.56957870721817,2025-11-21 13:34:04
2025_11_8_experiments,14,2025-11-21 13:28:23,GIN,IMDB-BINARY,ged_mixup,5,3,0,0,7b4e024be627dcc277feb06390063aab95370d7e,17,103,14,2025-11-21 13:28:23,2025-11-21 13:38:32,1,,2,,,,,,,,12,17,0.443283826112747,0.689999997615814,0.57955938577652,2025-11-21 13:31:46
2025_11_8_experiments,14,2025-11-21 13:28:23,GIN,IMDB-BINARY,ged_mixup,5,3,0,0,7b4e024be627dcc277feb06390063aab95370d7e,17,103,14,2025-11-21 13:28:23,2025-11-21 13:38:32,1,,2,,,,,,,,24,17,0.453774809837341,0.714999973773956,0.557618141174316,2025-11-21 13:35:11
2025_11_8_experiments,14,2025-11-21 13:28:23,GIN,IMDB-BINARY,ged_mixup,5,3,0,0,7b4e024be627dcc277feb06390063aab95370d7e,17,103,14,2025-11-21 13:28:23,2025-11-21 13:38:32,1,,2,,,,,,,,34,17,0.429568737745285,0.699999988079071,0.614361703395844,2025-11-21 13:38:32
2025_11_8_experiments,15,2025-11-21 13:31:06,GIN,IMDB-BINARY,emb_mixup,5,3,0,0,7b4e024be627dcc277feb06390063aab95370d7e,18,17,15,2025-11-21 13:31:06,2025-11-21 13:32:44,1,,1,,,,,,,,10,18,0.650656640529633,0.740000009536743,0.57399445772171,2025-11-21 13:31:39
