DB,id,start_date,model_name,dataset_name,method_name,num_folds,num_test_rounds,seed,cv_seed,commit_hash,id,optuna_study_id,experiment_id,start_date,end_date,is_complete,best_trial_number,fold,err_msg,best_avg_train_loss,best_avg_train_loss_epoch,best_avg_val_acc,best_avg_val_acc_epoch,best_avg_val_loss,best_avg_val_loss_epoch,id,study_id,final_train_loss,test_acc,test_loss,created_at
2025_11_1_experiments,3,2025-11-15 16:41:40,GIN,IMDB-MULTI,if_mixup,5,3,0,0,8eae4b6c3da3bcfddfad89368bb9ade9eab982ab,4,4,3,2025-11-15 16:41:40,2025-11-15 18:33:58,1,16,0,,0.938346564769745,940,0.512499988079071,640,0.990808367729187,460,7,4,0.978602051734924,0.483333319425583,1.01642370223999,2025-11-15 18:22:55
2025_11_1_experiments,3,2025-11-15 16:41:40,GIN,IMDB-MULTI,if_mixup,5,3,0,0,8eae4b6c3da3bcfddfad89368bb9ade9eab982ab,4,4,3,2025-11-15 16:41:40,2025-11-15 18:33:58,1,16,0,,0.938346564769745,940,0.512499988079071,640,0.990808367729187,460,8,4,0.981234550476074,0.456666678190231,0.999152839183807,2025-11-15 18:28:29
2025_11_1_experiments,3,2025-11-15 16:41:40,GIN,IMDB-MULTI,if_mixup,5,3,0,0,8eae4b6c3da3bcfddfad89368bb9ade9eab982ab,4,4,3,2025-11-15 16:41:40,2025-11-15 18:33:58,1,16,0,,0.938346564769745,940,0.512499988079071,640,0.990808367729187,460,9,4,0.988605499267578,0.476666659116745,1.03214156627655,2025-11-15 18:33:58
2025_11_1_experiments,3,2025-11-15 16:41:40,GIN,IMDB-MULTI,if_mixup,5,3,0,0,8eae4b6c3da3bcfddfad89368bb9ade9eab982ab,7,7,3,2025-11-15 16:42:43,2025-11-16 01:55:16,1,1,1,,0.950221478939056,900,0.516666650772095,660,1.00426065921783,500,40,7,0.987301766872406,0.476666659116745,1.0455766916275,2025-11-16 01:17:38
2025_11_1_experiments,3,2025-11-15 16:41:40,GIN,IMDB-MULTI,if_mixup,5,3,0,0,8eae4b6c3da3bcfddfad89368bb9ade9eab982ab,7,7,3,2025-11-15 16:42:43,2025-11-16 01:55:16,1,1,1,,0.950221478939056,900,0.516666650772095,660,1.00426065921783,500,44,7,0.979405999183655,0.466666668653488,1.0218825340271,2025-11-16 01:36:33
2025_11_1_experiments,3,2025-11-15 16:41:40,GIN,IMDB-MULTI,if_mixup,5,3,0,0,8eae4b6c3da3bcfddfad89368bb9ade9eab982ab,7,7,3,2025-11-15 16:42:43,2025-11-16 01:55:16,1,1,1,,0.950221478939056,900,0.516666650772095,660,1.00426065921783,500,48,7,0.995570957660675,0.463333338499069,1.01382100582123,2025-11-16 01:55:16
2025_11_1_experiments,3,2025-11-15 16:41:40,GIN,IMDB-MULTI,if_mixup,5,3,0,0,8eae4b6c3da3bcfddfad89368bb9ade9eab982ab,23,23,3,2025-11-15 18:34:10,2025-11-16 01:09:36,1,12,2,,1.01923000812531,940,0.524999976158142,800,1.01598882675171,980,33,23,1.04871988296509,0.496666669845581,1.03007137775421,2025-11-16 00:18:52
2025_11_1_experiments,3,2025-11-15 16:41:40,GIN,IMDB-MULTI,if_mixup,5,3,0,0,8eae4b6c3da3bcfddfad89368bb9ade9eab982ab,23,23,3,2025-11-15 18:34:10,2025-11-16 01:09:36,1,12,2,,1.01923000812531,940,0.524999976158142,800,1.01598882675171,980,36,23,1.03978753089905,0.506666660308838,1.04623520374298,2025-11-16 00:44:16
2025_11_1_experiments,3,2025-11-15 16:41:40,GIN,IMDB-MULTI,if_mixup,5,3,0,0,8eae4b6c3da3bcfddfad89368bb9ade9eab982ab,23,23,3,2025-11-15 18:34:10,2025-11-16 01:09:36,1,12,2,,1.01923000812531,940,0.524999976158142,800,1.01598882675171,980,39,23,1.05701577663422,0.456666678190231,1.05320847034454,2025-11-16 01:09:36
2025_11_1_experiments,3,2025-11-15 16:41:40,GIN,IMDB-MULTI,if_mixup,5,3,0,0,8eae4b6c3da3bcfddfad89368bb9ade9eab982ab,30,30,3,2025-11-16 01:09:47,2025-11-16 05:20:00,1,1,3,,0.898290753364563,980,0.512499988079071,760,1.01518714427948,400,56,30,0.931300044059753,0.496666669845581,1.04552853107452,2025-11-16 05:06:30
