batch;experiment_id;optuna_study_id;dataset_name;model_name;method_name;num_results;avg_test_acc_fold;std_test_acc_fold;std_err_test_acc_fold;sq_std_err;best_avg_val_acc_fold;avg_acc_diff_fold;best_avg_val_acc_epoch_fold;best_avg_train_loss_fold;best_avg_train_loss_epoch_fold;fold;required_folds;num_completed_trials_fold;best_trial_number
alpha;1;1;MUTAG;GCN;;3;0.72807016;0.015193439;0.008771936;7.69469E-05;1;-0.27192984;560;0.415183991;750;0;5;100;71
alpha;1;2;MUTAG;GCN;;3;0.789473693;0.026315778;0.015193422;0.00023084;0.933333397;-0.143859704;290;0.262995064;350;1;5;100;21
alpha;1;3;MUTAG;GCN;;3;0.745614032;0.015193439;0.008771936;7.69469E-05;0.966666639;-0.221052607;550;0.416427791;510;2;5;100;11
alpha;1;4;MUTAG;GCN;;3;0.837837855;0.071506783;0.041284461;0.001704407;0.966666639;-0.128828784;340;0.227293983;410;3;5;100;11
alpha;1;6;MUTAG;GCN;;3;0.819819828;0.068016517;0.039269355;0.001542082;0.966666639;-0.146846811;270;0.253677368;360;4;5;100;19
alpha;2;5;ENZYMES;GCN;;3;0.716666659;0.02204794;0.012729384;0.000162037;0.802083313;-0.085416655;640;0.015614423;780;0;5;100;35
alpha;2;7;ENZYMES;GCN;;3;0.688888868;0.034694434;0.020030841;0.000401235;0.802083313;-0.113194446;760;0.043678522;850;1;5;42;31
alpha;2;9;ENZYMES;GCN;;3;0.766666671;0.014433777;0.008333345;6.94446E-05;0.854166687;-0.087500016;990;0.340810865;950;2;5;62;57
alpha;2;12;ENZYMES;GCN;;3;0.766666651;0;0;0;0.791666687;-0.025000036;690;0.000312279;800;3;5;100;69
alpha;2;15;ENZYMES;GCN;;3;0.688888888;0.037577105;0.021695152;0.00047068;0.802083313;-0.113194426;770;0.057715144;770;4;5;62;56
alpha;3;8;PROTEINS;GCN;;3;0.727952182;0.006849875;0.003954777;1.56403E-05;0.842696607;-0.114744425;350;0.398044318;360;0;5;100;84
alpha;3;11;PROTEINS;GCN;;3;0.57399103;0.162737636;0.093956618;0.008827846;0.80898875;-0.23499772;430;0.517518759;510;1;5;98;21
alpha;3;14;PROTEINS;GCN;;3;0.723467867;0.022570492;0.01303108;0.000169809;0.820224702;-0.096756836;980;0.09818089;880;2;5;75;11
